# Number of sources: 50000
# RA (deg),Dec (deg),I (Jy),Q (Jy),U (Jy),V (Jy),Ref. freq. (Hz),Spectral index,Rotation measure (rad/m^2),FWHM major (arcsec),FWHM minor (arcsec),Position angle (deg)
27.824147, -28.694977, 9.267645e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
19.142999, -22.006328, 2.743913e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
24.296103, -31.119360, 4.723361e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
11.257006, -32.633527, 3.051835e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
21.251338, -25.930839, 4.988219e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
21.760301, -29.826326, 1.966308e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
20.000454, -37.386048, 6.544740e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
27.271883, -27.115192, 3.703237e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
23.489152, -26.726057, 1.987166e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
23.286601, -36.249323, 7.808853e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
19.586930, -39.450302, 1.705508e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
25.263391, -27.138281, 9.686924e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
21.995977, -36.043707, 2.477239e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
19.548753, -26.959701, 1.933950e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
12.398967, -29.599810, 7.266380e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
20.243395, -29.289835, 4.692513e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
27.118165, -33.146324, 1.138638e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
16.330528, -29.996258, 7.171388e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
10.389829, -28.707196, 5.170014e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
16.672678, -29.651364, 2.440620e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
24.284592, -32.165717, 2.334826e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
14.020867, -35.184073, 1.509602e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
26.040130, -31.739602, 4.062674e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
18.146863, -39.086345, 3.561301e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
19.293985, -24.824546, 1.117410e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
28.035031, -28.138539, 5.860434e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
19.111694, -24.275679, 1.428844e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
9.329276, -33.241414, 2.153750e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
27.004527, -22.660778, 4.683951e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
15.002934, -30.957494, 6.191208e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
25.053158, -30.786074, 1.508287e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
21.861069, -32.731817, 9.757835e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
11.517847, -36.189009, 2.220331e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
19.670564, -36.403641, 1.484140e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
22.335969, -38.011041, 1.585105e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
27.711104, -27.199249, 3.174304e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
30.967019, -32.841984, 5.974091e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
24.141507, -21.115345, 5.075741e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
23.850003, -24.234614, 7.261361e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
21.297756, -37.556567, 2.769137e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
13.561148, -32.245747, 1.702235e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
30.005069, -28.001626, 7.305944e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
21.878821, -39.424470, 1.258264e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
20.414703, -33.997478, 2.460337e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
20.151039, -27.940453, 7.486747e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
22.254435, -27.597864, 3.510017e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
18.011050, -32.125815, 7.901658e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
28.266115, -28.517329, 1.700800e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
26.400676, -34.700957, 5.350346e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
22.295781, -32.823379, 6.925652e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
27.046909, -28.989269, 6.214783e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
17.202398, -27.143645, 4.035460e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
26.390801, -32.029807, 5.829480e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
26.062737, -29.952743, 6.558681e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
26.579867, -24.011306, 1.550689e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
18.571457, -30.263342, 2.157356e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
16.913159, -34.090311, 6.958222e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
24.712958, -36.126899, 2.666027e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
24.382577, -37.168728, 5.612786e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
20.077797, -33.649552, 6.391963e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
20.927387, -25.105414, 2.415206e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
30.505114, -29.370292, 2.279456e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
20.180147, -39.160391, 1.250328e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
16.593928, -26.608803, 1.990205e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
19.335203, -27.660425, 2.411914e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
21.409716, -30.331029, 1.105229e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
26.320807, -23.739762, 8.270058e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
14.547447, -38.698954, 4.570666e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
22.248095, -25.838421, 6.908933e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
15.889950, -29.050782, 1.669165e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
19.424575, -36.086632, 3.545505e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
11.760746, -34.763440, 3.578587e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
13.883183, -36.256618, 4.072175e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
17.558282, -28.521439, 2.236962e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
21.835980, -20.905534, 1.221511e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
19.461808, -30.495367, 6.490955e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
14.907859, -29.161940, 7.641615e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
18.755684, -22.375906, 9.898373e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
29.659366, -33.716010, 1.870905e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
28.094491, -28.701800, 1.896468e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
17.162920, -27.191555, 8.187495e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
22.774400, -24.249946, 1.633967e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
10.701428, -32.546756, 1.623457e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
23.638585, -28.913253, 5.822016e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
16.749376, -29.116560, 3.636142e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
24.945089, -22.421209, 3.953044e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
13.411049, -36.205074, 9.450447e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
21.704675, -22.965942, 6.351650e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
21.635398, -35.400181, 3.263630e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
12.084885, -27.571790, 4.611361e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
10.420098, -27.141560, 5.879554e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
28.152856, -33.206481, 3.295407e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
21.302283, -25.018459, 4.013649e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
18.829693, -31.634967, 9.817472e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
24.732456, -38.336011, 1.159404e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
17.954361, -31.250284, 4.361006e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
21.138585, -27.964666, 5.969500e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
18.203740, -32.635959, 3.247338e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
23.827446, -20.954491, 1.682906e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
30.838970, -31.322664, 2.298028e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
29.186986, -31.917194, 3.613019e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
11.839423, -25.361572, 6.154115e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
19.469444, -31.338571, 1.339891e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
24.075800, -38.475139, 6.424825e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
18.854027, -28.587426, 3.259234e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
9.671408, -30.136007, 3.353278e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
20.628930, -32.528417, 4.939151e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
12.383167, -26.634109, 3.825296e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
28.194866, -34.053349, 7.721910e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
11.852108, -25.383698, 1.290405e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
11.840835, -26.561214, 4.377852e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
17.392971, -21.960223, 7.627691e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
13.418029, -37.581589, 1.875506e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
11.240245, -36.048663, 4.684249e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
23.042200, -28.702026, 1.207168e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
21.989523, -29.843637, 6.111947e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
29.918004, -32.406826, 1.951339e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
11.096086, -29.832849, 4.747325e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
19.377469, -29.436958, 1.672520e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
16.174480, -26.663554, 1.856118e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
23.654099, -21.200345, 5.365310e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
14.760599, -35.638414, 6.310029e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
16.331431, -21.464003, 7.636326e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
14.343812, -36.414870, 8.719634e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
17.811880, -25.452452, 1.429852e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
26.844978, -29.640822, 3.326121e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
26.020615, -28.132113, 1.839330e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
22.927931, -26.586467, 7.104481e+01, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.000000e+08, 0.000000e+00, 0.000000e+00, 1.000000e+01, 5.000000e+00,  50.000000
